label_id	cell_id
1.0	0
2.0	22492
3.0	22492
4.0	22492
5.0	22829
6.0	22829
7.0	22828
8.0	22828
9.0	22828
10.0	22828
11.0	22828
12.0	22828
13.0	22828
14.0	22828
15.0	22828
16.0	22496
17.0	22496
18.0	22829
19.0	22829
20.0	22496
21.0	22492
22.0	22492
23.0	22492
24.0	22496
25.0	22496
26.0	22496
27.0	22496
28.0	22828
29.0	22828
30.0	22828
31.0	22828
32.0	22828
33.0	22829
34.0	22829
35.0	22828
36.0	22828
37.0	22828
38.0	22828
39.0	0
40.0	22829
41.0	22829
42.0	22829
43.0	22829
44.0	22833
45.0	22833
46.0	22833
47.0	22833
48.0	22833
49.0	22829
50.0	0
51.0	0
52.0	22833
53.0	22833
54.0	22833
55.0	22829
56.0	22833
57.0	22829
58.0	22833
59.0	22828
60.0	22833
61.0	22833
62.0	22833
63.0	22828
64.0	22829
65.0	0
66.0	22833
67.0	0
68.0	0
69.0	0
70.0	22822
71.0	22822
72.0	22833
73.0	22833
74.0	23626
75.0	23445
76.0	23445
77.0	23105
78.0	23445
79.0	23445
80.0	23445
81.0	23445
82.0	23445
83.0	23445
84.0	23445
85.0	23445
86.0	23445
87.0	23105
88.0	23445
89.0	23445
90.0	23445
91.0	23445
92.0	23445
93.0	23445
94.0	22822
95.0	23105
96.0	23105
97.0	23105
98.0	23105
99.0	23445
100.0	23445
101.0	23445
102.0	23626
103.0	23626
104.0	23626
105.0	23626
106.0	0
107.0	23626
108.0	23626
109.0	23626
110.0	23626
111.0	23626
112.0	23626
113.0	23626
114.0	23626
115.0	23626
116.0	23627
117.0	23627
118.0	23627
119.0	23627
120.0	23627
121.0	23627
122.0	23627
123.0	23104
124.0	23104
125.0	23104
126.0	23104
127.0	23105
128.0	23445
129.0	23626
130.0	23445
131.0	23626
132.0	22822
133.0	23104
134.0	0
135.0	0
136.0	0
137.0	23626
138.0	23104
139.0	23105
140.0	23627
141.0	23627
142.0	23627
143.0	23627
144.0	23627
145.0	23627
146.0	23627
147.0	23627
148.0	23627
149.0	23627
150.0	23627
151.0	0
152.0	0
153.0	0
154.0	0
155.0	0
156.0	0
157.0	23511
158.0	23511
159.0	0
160.0	0
161.0	0
162.0	23511
163.0	23511
164.0	23857
165.0	23857
166.0	23511
167.0	23857
168.0	23857
169.0	23511
170.0	23857
171.0	23511
172.0	24973
173.0	24973
174.0	24973
175.0	24973
176.0	24973
177.0	24973
178.0	22822
179.0	22828
180.0	22828
181.0	22828
182.0	23104
183.0	23857
184.0	24973
